,date,ticker,document
52,q2q2020,NEE,"{'usage': {'text_units': 2, 'text_characters': 13679, 'features': 2}, 'sentiment': {'document': {'score': -0.872736, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.732503, 'joy': 0.013262, 'fear': 0.310145, 'disgust': 0.060651, 'anger': 0.078933}}}}"
53,q1q2020,NEE,"{'usage': {'text_units': 2, 'text_characters': 13725, 'features': 2}, 'sentiment': {'document': {'score': -0.651453, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.741462, 'joy': 0.012834, 'fear': 0.294031, 'disgust': 0.061869, 'anger': 0.083052}}}}"
54,q3q2019,NEE,"{'usage': {'text_units': 2, 'text_characters': 14419, 'features': 2}, 'sentiment': {'document': {'score': -0.872736, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.676286, 'joy': 0.010867, 'fear': 0.407138, 'disgust': 0.063493, 'anger': 0.070661}}}}"
55,q2q2019,NEE,"{'usage': {'text_units': 2, 'text_characters': 13663, 'features': 2}, 'sentiment': {'document': {'score': -0.872736, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.702392, 'joy': 0.009554, 'fear': 0.369707, 'disgust': 0.067131, 'anger': 0.080645}}}}"
56,q1q2019,NEE,"{'usage': {'text_units': 2, 'text_characters': 13467, 'features': 2}, 'sentiment': {'document': {'score': -0.661441, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.716177, 'joy': 0.011946, 'fear': 0.317445, 'disgust': 0.064432, 'anger': 0.084169}}}}"
57,q3q2018,NEE,"{'usage': {'text_units': 2, 'text_characters': 14828, 'features': 2}, 'sentiment': {'document': {'score': -0.807925, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.686561, 'joy': 0.011464, 'fear': 0.351191, 'disgust': 0.068956, 'anger': 0.081302}}}}"
58,q2q2018,NEE,"{'usage': {'text_units': 2, 'text_characters': 14693, 'features': 2}, 'sentiment': {'document': {'score': -0.807925, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.688821, 'joy': 0.009785, 'fear': 0.35272, 'disgust': 0.070474, 'anger': 0.08486}}}}"
59,q1q2018,NEE,"{'usage': {'text_units': 2, 'text_characters': 13966, 'features': 2}, 'sentiment': {'document': {'score': -0.661441, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.693704, 'joy': 0.011186, 'fear': 0.332252, 'disgust': 0.070887, 'anger': 0.086492}}}}"
60,0210331,NEE,"{'usage': {'text_units': 2, 'text_characters': 14445, 'features': 2}, 'sentiment': {'document': {'score': -0.601515, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.70004, 'joy': 0.006928, 'fear': 0.354311, 'disgust': 0.070069, 'anger': 0.083839}}}}"
61,2020092,SPWR,"{'usage': {'text_units': 2, 'text_characters': 17099, 'features': 2}, 'sentiment': {'document': {'score': -0.973659, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.752181, 'joy': 0.106961, 'fear': 0.166532, 'disgust': 0.025233, 'anger': 0.063193}}}}"
62,2020032,SPWR,"{'usage': {'text_units': 2, 'text_characters': 19779, 'features': 2}, 'sentiment': {'document': {'score': -0.942887, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.615762, 'joy': 0.154682, 'fear': 0.166408, 'disgust': 0.037397, 'anger': 0.122158}}}}"
63,9292019,SPWR,"{'usage': {'text_units': 2, 'text_characters': 17641, 'features': 2}, 'sentiment': {'document': {'score': -0.989583, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.539293, 'joy': 0.198413, 'fear': 0.212109, 'disgust': 0.022011, 'anger': 0.052781}}}}"
64,3312019,SPWR,"{'usage': {'text_units': 2, 'text_characters': 16755, 'features': 2}, 'sentiment': {'document': {'score': -0.964136, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.453826, 'joy': 0.234233, 'fear': 0.164935, 'disgust': 0.020826, 'anger': 0.042065}}}}"
65,0930201,SPWR,"{'usage': {'text_units': 3, 'text_characters': 23717, 'features': 2}, 'sentiment': {'document': {'score': -0.999394, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.773142, 'joy': 0.034408, 'fear': 0.208162, 'disgust': 0.06008, 'anger': 0.145285}}}}"
66,0701201,SPWR,"{'usage': {'text_units': 3, 'text_characters': 22114, 'features': 2}, 'sentiment': {'document': {'score': -0.997294, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.786569, 'joy': 0.019568, 'fear': 0.219241, 'disgust': 0.065478, 'anger': 0.144772}}}}"
67,0401201,SPWR,"{'usage': {'text_units': 3, 'text_characters': 21275, 'features': 2}, 'sentiment': {'document': {'score': -0.858525, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.709374, 'joy': 0.04364, 'fear': 0.25387, 'disgust': 0.064465, 'anger': 0.151006}}}}"
68,2020062,SPWR,"{'usage': {'text_units': 2, 'text_characters': 18980, 'features': 2}, 'sentiment': {'document': {'score': -0.879072, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.649608, 'joy': 0.110109, 'fear': 0.20059, 'disgust': 0.04031, 'anger': 0.138076}}}}"
69,6302019,SPWR,"{'usage': {'text_units': 2, 'text_characters': 15885, 'features': 2}, 'sentiment': {'document': {'score': -0.991092, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.360919, 'joy': 0.285247, 'fear': 0.173416, 'disgust': 0.017182, 'anger': 0.038731}}}}"
70,10q_202,TSLA,"{'usage': {'text_units': 3, 'text_characters': 23672, 'features': 2}, 'sentiment': {'document': {'score': -0.808611, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.891272, 'joy': 0.005284, 'fear': 0.167178, 'disgust': 0.062418, 'anger': 0.103838}}}}"
71,10q_201,TSLA,"{'usage': {'text_units': 3, 'text_characters': 22072, 'features': 2}, 'sentiment': {'document': {'score': -0.824169, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.857261, 'joy': 0.009923, 'fear': 0.186393, 'disgust': 0.063119, 'anger': 0.120229}}}}"
72,2021033,TSLA,"{'usage': {'text_units': 3, 'text_characters': 22846, 'features': 2}, 'sentiment': {'document': {'score': -0.797561, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.828091, 'joy': 0.007168, 'fear': 0.249256, 'disgust': 0.066111, 'anger': 0.111258}}}}"
73,10331 h,F,"{'usage': {'text_units': 2, 'text_characters': 10547, 'features': 2}, 'sentiment': {'document': {'score': -0.994684, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.653739, 'joy': 0.039393, 'fear': 0.227966, 'disgust': 0.050996, 'anger': 0.123018}}}}"
